FRH0,Bretagne,3333720
FRI,Nouvelle-Aquitaine,5986318
FRI1,Aquitaine,3450045
FRI2,Limousin,729981
FRI3,Poitou-Charentes,1806292
FRJ,Occitanie,5899209
FRJ1,Languedoc-Roussillon,2838966
FRJ2,Midi-Pyrénées,3060243
FRK,Auvergne - Rhône-Alpes,8005882
FRK1,Auvergne,1362576
FRK2,Rhône-Alpes,6643306
FRL,Provence-Alpes-Côte d'Azur,5048405
FRL0,Provence-Alpes-Côte d'Azur,5048405
FRM,Corse,341554
FRM0,Corse,341554
FRY,RUP FR - Régions ultrapériphériques françaises,2190929
FRY1,Guadeloupe,416474
FRY2,Martinique,363484
FRY3,Guyane,283539
FRY4,La Réunion,857961
FRY5,Mayotte,269471
FRX,Not regionalised/Unknown NUTS 1,0
FRXX,Not regionalised/Unknown NUTS 2,0
HR,Croatia,4076246
HR0,Hrvatska,4076246
HR03,Jadranska Hrvatska,1374071
HR04,Kontinentalna Hrvatska (NUTS 2016),2702175
IT,Italy,60359546
ITC,Nord-Ovest,16093286
ITC1,Piemonte,4356406
ITC2,Valle d'Aosta/Vallée d'Aoste,125666
ITC3,Liguria,1550640
ITC4,Lombardia,10060574
ITH,Nord-Est,11652827
ITH1,Provincia Autonoma di Bolzano/Bozen,531178
ITH2,Provincia Autonoma di Trento,541098
ITH3,Veneto,4905854
ITH4,Friuli-Venezia Giulia,1215220
ITH5,Emilia-Romagna,4459477
ITI,Centro (IT),12016009
ITI1,Toscana,3729641
ITI2,Umbria,882015
ITI3,Marche,1525271
ITI4,Lazio,5879082
ITF,Sud,13957942
ITF1,Abruzzo,1311580
ITF2,Molise,305617
ITF3,Campania,5801692
ITF4,Puglia,4029053
ITF5,Basilicata,562869
ITF6,Calabria,1947131
ITG,Isole,6639482
ITG1,Sicilia,4999891
ITG2,Sardegna,1639591
CY,Cyprus,875899
CY0,Kypros,875899
CY00,Kypros,875899
LV,Latvia,1919968
LV0,Latvija,1919968
LV00,Latvija,1919968
LT,Lithuania,2794184
LT0,Lietuva,2794184
LT01,Sostines regionas,810538
LT02,Vidurio ir vakaru Lietuvos regionas,1983646
LU,Luxembourg,613894
LU0,Luxembourg,613894
LU00,Luxembourg,613894
HU,Hungary,9772756
HU1,Közép-Magyarország,3031160
HU11,Budapest,1752286
HU12,Pest,1278874
HU2,Dunántúl,2927175
HU21,Közép-Dunántúl,1058236
HU22,Nyugat-Dunántúl,989343
HU23,Dél-Dunántúl,879596
HU3,Alföld és Észak,3814421
HU31,Észak-Magyarország,1126360
HU32,Észak-Alföld,1450960
HU33,Dél-Alföld,1237101
HUX,Not regionalised/Unknown NUTS 1,0
HUXX,Not regionalised/Unknown NUTS 2,0
MT,Malta,493559
MT0,Malta,493559
MT00,Malta,493559
NL,Netherlands,17282163
NL1,Noord-Nederland,1723829
NL11,Groningen,583990
NL12,Friesland (NL),647672
NL13,Drenthe,492167
NL2,Oost-Nederland,3644949
NL21,Overijssel,1156431
NL22,Gelderland,2071972
NL23,Flevoland,416546
NL3,West-Nederland,8252442
NL31,Utrecht,1306912
NL32,Noord-Holland,2853359
NL33,Zuid-Holland,3709139
NL34,Zeeland,383032
NL4,Zuid-Nederland,3660943
NL41,Noord-Brabant,2544806
NL42,Limburg (NL),1116137
AT,Austria,8858775
AT1,Ostösterreich,3868466
AT11,Burgenland (AT),293433
AT12,Niederösterreich,1677542
AT13,Wien,1897491
AT2,Südösterreich,1803991
AT21,Kärnten,560939
AT22,Steiermark,1243052
AT3,Westösterreich,3186318
AT31,Oberösterreich,1482095
AT32,Salzburg,555221
AT33,Tirol,754705
AT34,Vorarlberg,394297
PL,Poland,37972812
PL2,Makroregion Poludniowy,7849543
PL21,Malopolskie,3360545
PL22,Slaskie,4488998
PL4,Makroregion Pólnocno-Zachodni,6151984
PL41,Wielkopolskie,3473172
PL42,Zachodniopomorskie,1675502
PL43,Lubuskie,1003310
PL5,Makroregion Poludniowo-Zachodni,3811110
PL51,Dolnoslaskie,2865072
PL52,Opolskie,946038
PL6,Makroregion Pólnocny,5764951
PL61,Kujawsko-Pomorskie,2055433
PL62,Warminsko-Mazurskie,1404441
PL63,Pomorskie,2305077
PL7,Makroregion Centralny,3679410
PL71,Lódzkie,2453167
PL72,Swietokrzyskie,1226243
PL8,Makroregion Wschodni,5335503
PL81,Lubelskie,2097294
PL82,Podkarpackie,2086135
PL84,Podlaskie,1152074
PL9,Makroregion Województwo Mazowieckie,5380311
PL91,Warszawski stoleczny,3053104
PL92,Mazowiecki regionalny,2327207
PT,Portugal,10276617
PT1,Continente,9779826
PT11,Norte,3572583
PT15,Algarve,438864
PT16,Centro (PT),2216569
PT17,Área Metropolitana de Lisboa,2846332
PT18,Alentejo,705478
PT2,Região Autónoma dos Açores (PT),242846
PT20,Região Autónoma dos Açores (PT),242846
PT3,Região Autónoma da Madeira (PT),253945
PT30,Região Autónoma da Madeira (PT),253945
RO,Romania,19414458
RO1,Macroregiunea unu,4870384
RO11,Nord-Vest,2552112
RO12,Centru,2318272
RO2,Macroregiunea doi,5594735
RO21,Nord-Est,3198564
RO22,Sud-Est,2396171
RO3,Macroregiunea trei,5245005
RO31,Sud - Muntenia,2929832
RO32,Bucuresti - Ilfov,2315173
RO4,Macroregiunea patru,3704334
RO41,Sud-Vest Oltenia,1926860
RO42,Vest,1777474
SI,Slovenia,2080908
SI0,Slovenija,2080908
SI03,Vzhodna Slovenija,1094435
SI04,Zahodna Slovenija,986473
